Locus,Gene Type
A,01:01:01:63
A,02:01:01:150
B,08:01:01:16
B,35:01:01:19
C,03:03:01:31
C,07:01:01:83
DPB1,04:02:01:41
DPB1,1300:01
DQA1,04:01:01:08
DQA1,05:01:01:06
DQB1,04:02:01:14
DQB1,04:02:01:14
DRB1,03:01:31
DRB1,08:01:01:02
