Locus,Gene Type
A,01:01:01:63
A,02:01:01:01
B,08:01:01:16
B,40:01:02:33
C,03:04:01:46
C,07:01:01:83
DPB1,04:02:01:41
DPB1,1300:01
DQA1,01:02:01:09
DQA1,05:01:01:06
DQB1,02:01:01:18
DQB1,06:426
DRB1,03:01:31
DRB1,13:02:01:07
