Locus,Gene Type
A,01:01:01:63
A,29:02:01:01
B,27:05:02:09
B,44:03:01:10
C,01:02:01:66
C,16:01:01:40
DPB1,1300:01
DPB1,734:01
DQA1,02:01:17
DQA1,05:05:16:01
DQB1,02:02:01:14
DQB1,02:02:01:14
DRB1,01:03:01:01
DRB1,07:01:01:25
