Locus,Gene Type
A,02:01:01:50
A,24:02:01:16
B,18:01:01:20
B,18:01:01:20
C,07:01:01:15
C,07:01:01:83
DPB1,01:01:01:06
DPB1,04:02:01:41
DQA1,05:01:01:06
DQA1,05:05:01:34
DQB1,02:01:01:18
DQB1,03:467
DRB1,03:01:31
DRB1,03:01:31
